№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
34.0,6776311001.0,34/155,-2,ЖК Серебряный фонтан | https://erzrf.ru/novostroyki/zhk-serebrjanyj-fontan-6776311001?regionKey=143443001&gkId=6776311001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Алексеевский, ул.Новоалексеевская",52.25,36.0,бизнес,дома повышенной этажности,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
35.0,16743686001.0,35/156,-2,ЖК Level Причальный | https://erzrf.ru/novostroyki/zhk-level-prichalnyj-16743686001?regionKey=143443001&gkId=16743686001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, пр-д Причальный",52.1,28.0,бизнес,высотные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
36.0,22550397001.0,36/165,+55,ЖК Квартал МИРАПОЛИС | https://erzrf.ru/novostroyki/zhk-kvartal-mirapolis-22550397001?regionKey=143443001&gkId=22550397001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Ярославский, пр-кт Мира",51.8,170.0,бизнес,высотные дома,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
37.0,8536149001.0,37/169,+17,ЖК Остафьево | https://erzrf.ru/novostroyki/zhk-ostafevo-8536149001?regionKey=143443001&gkId=8536149001,г.Москва,"с.Остафьево (в составе г.о. Москва), округ Новомосковский, ш.Остафьевское",51.35,652.0,комфорт,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
38.0,16913632001.0,38/175,-3,ЖК AFI Park Воронцовский | https://erzrf.ru/novostroyki/zhk-afi-park-voroncovskij-16913632001?regionKey=143443001&gkId=16913632001,г.Москва,"г.Москва, округ Юго-Западный, р-н Обручевский, ш.Старокалужское",51.15,109.0,бизнес,высотные дома,AFI Development | https://erzrf.ru/zastroyschiki/brand/1189186001?regionKey=0&organizationId=1189186001,4.5
39.0,22542740001.0,38/175,-3,ЖК Коллекция Лужники | https://erzrf.ru/novostroyki/zhk-kollekcija-luzhniki-22542740001?regionKey=143443001&gkId=22542740001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, наб.Лужнецкая",51.15,72.0,элитный,дома повышенной этажности,ГК АБСОЛЮТ | https://erzrf.ru/zastroyschiki/brand/934095001?regionKey=0&organizationId=934095001,4.5
40.0,366974001.0,40/178,+36,ЖК Новые Ватутинки | https://erzrf.ru/novostroyki/zhk-novye-vatutinki-366974001?regionKey=143443001&gkId=366974001,г.Москва,"поселение Десеновское, округ Новомосковский, пр-кт Нововатутинский",51.1,183.0,комфорт,многоэтажные дома,ГК Стройком | https://erzrf.ru/zastroyschiki/brand/14592164001?regionKey=0&organizationId=14592164001,5.0
41.0,23404239001.0,40/178,-3,ЖК Обручева 30 | https://erzrf.ru/novostroyki/zhk-obrucheva-30-23404239001?regionKey=143443001&gkId=23404239001,г.Москва,"г.Москва, округ Юго-Западный, р-н Коньково, ул.Обручева",51.1,765.0,бизнес,высотные дома,Группа ЛСР | https://erzrf.ru/zastroyschiki/brand/429468001?regionKey=0&organizationId=429468001,5.0
42.0,21736399001.0,42/181,-4,ЖК Ильинка 3/8 | https://erzrf.ru/novostroyki/zhk-ilinka-38-21736399001?regionKey=143443001&gkId=21736399001,г.Москва,"г.Москва, округ Центральный, р-н Тверской, ул.Ильинка",51.05,43.0,элитный,среднеэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
43.0,24494062001.0,42/181,+12,ЖК Остафьево (Рязановское) | https://erzrf.ru/novostroyki/zhk-ostafevo-rjazanovskoe-24494062001?regionKey=143443001&gkId=24494062001,г.Москва,"с.п.Рязановское, округ Новомосковский, ул.Любучанская",51.05,652.0,комфорт,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
44.0,18650100001.0,44/185,-5,ЖК MyPriority Basmanny | https://erzrf.ru/novostroyki/zhk-mypriority-basmanny-18650100001?regionKey=143443001&gkId=18650100001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, ул.Малая Почтовая",50.95,113.0,бизнес,дома повышенной этажности,ГК Гранель | https://erzrf.ru/zastroyschiki/brand/955386001?regionKey=0&organizationId=955386001,4.5
45.0,15668506001.0,45/193,-5,ЖК FORIVER | https://erzrf.ru/novostroyki/zhk-foriver-15668506001?regionKey=143443001&gkId=15668506001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, наб.Симоновская",50.5,346.0,бизнес,дома повышенной этажности,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
46.0,21026439001.0,46/196,-5,ЖК Клубный город на реке Primavera | https://erzrf.ru/novostroyki/zhk-klubnyj-gorod-na-reke-primavera-21026439001?regionKey=143443001&gkId=21026439001,г.Москва,"г.Москва, округ Северо-Западный, р-н Покровское-Стрешнево, ш.Волоколамское",50.3,231.0,элитный,дома повышенной этажности,Стадион Спартак | https://erzrf.ru/zastroyschiki/brand/10336172001?regionKey=0&organizationId=10336172001,5.0
47.0,21697461001.0,46/196,-5,ЖК Саввинская 27 | https://erzrf.ru/novostroyki/zhk-savvinskaja-27-21697461001?regionKey=143443001&gkId=21697461001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, наб.Саввинская",50.3,13.0,элитный,многоэтажные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
48.0,21523159001.0,48/199,-5,ЖК Level Южнопортовая | https://erzrf.ru/novostroyki/zhk-level-juzhnoportovaja-21523159001?regionKey=143443001&gkId=21523159001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Печатники, ул.Южнопортовая",50.15,105.0,комфорт,высотные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
49.0,21959614001.0,49/200,-5,ЖК СОЮЗ | https://erzrf.ru/novostroyki/zhk-sojuz-21959614001?regionKey=143443001&gkId=21959614001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Ростокино, ул.Сельскохозяйственная",50.05,197.0,элитный,дома повышенной этажности,ГК Родина | https://erzrf.ru/zastroyschiki/brand/21959217001?regionKey=0&organizationId=21959217001,5.0
50.0,20951053001.0,49/200,-5,ЖК Скай Гарден | https://erzrf.ru/novostroyki/zhk-skaj-garden-20951053001?regionKey=143443001&gkId=20951053001,г.Москва,"г.Москва, округ Северный, р-н Покровское-Стрешнево, пр-д Строительный",50.05,300.0,бизнес,высотные дома,ГК ФСК | https://erzrf.ru/zastroyschiki/brand/755344001?regionKey=0&organizationId=755344001,4.0
51.0,21069274001.0,51/207,-5,ЖК Клубный Дом Чистые Пруды | https://erzrf.ru/novostroyki/zhk-dom-chistye-prudy-21069274001?regionKey=143443001&gkId=21069274001,г.Москва,"г.Москва, округ Центральный, р-н Басманный, пер.Потаповский",49.85,18.0,элитный,среднеэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
52.0,20721407001.0,52/208,-5,ЖК Level Мичуринский | https://erzrf.ru/novostroyki/zhk-level-michurinskij-20721407001?regionKey=143443001&gkId=20721407001,г.Москва,"г.Москва, округ Западный, р-н Очаково-Матвеевское, ул.Озёрная",49.8,512.0,бизнес,высотные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
